InvoiceID,Branch,City,Customertype,Gender,Productline,Unitprice,Quantity,Tax5%,Total,Date,Time,Payment,cogs,grossmarginpercentage,grossincome,Rating
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,28.12,590.44,2019-01-15,16:19:00,Cash,562.32,4.76,28.12,4.50
656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7,24.13,506.64,2019-03-11,11:03:00,Credit card,482.51,4.76,24.13,4.60
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.78,457.44,2019-01-01,10:39:00,Credit card,435.66,4.76,21.78,6.90
329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,8.20,172.21,2019-01-21,18:00:00,Credit card,164.01,4.76,8.20,8.60
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.30,2,4.03,84.63,2019-03-11,15:30:00,Ewallet,80.60,4.76,4.03,4.40
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,21.51,451.71,2019-02-25,11:24:00,Ewallet,430.20,4.76,21.51,4.80
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,3,13.20,277.14,2019-03-05,10:40:00,Ewallet,263.94,4.76,13.20,5.10
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.20,2,3.32,69.72,2019-03-15,12:20:00,Credit card,66.40,4.76,3.32,4.40
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2019-02-17,11:15:00,Ewallet,172.80,4.76,8.64,9.90
549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3,13.29,279.18,2019-03-02,17:36:00,Ewallet,265.89,4.76,13.29,6.00
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8,21.04,441.76,2019-03-22,19:20:00,Credit card,420.72,4.76,21.04,8.50
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,1.68,35.20,2019-02-08,15:31:00,Cash,33.52,4.76,1.68,6.70
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2,8.77,184.11,2019-03-10,12:17:00,Credit card,175.34,4.76,8.77,7.70
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5,22.09,463.89,2019-01-25,19:48:00,Cash,441.80,4.76,22.09,9.60
848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9,11.20,235.21,2019-03-15,15:36:00,Cash,224.01,4.76,11.20,7.40
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,23.53,494.18,2019-02-25,19:39:00,Credit card,470.65,4.76,23.53,4.80
149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9,35.13,737.76,2019-01-28,12:43:00,Cash,702.63,4.76,35.13,4.50
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8,33.51,703.75,2019-01-10,14:49:00,Cash,670.24,4.76,33.51,5.10
595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2,9.66,202.82,2019-03-15,10:12:00,Credit card,193.16,4.76,9.66,5.10
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.88,417.56,2019-02-06,10:42:00,Ewallet,397.68,4.76,19.88,7.50
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.41,71.53,2019-01-07,12:28:00,Ewallet,68.12,4.76,3.41,6.80
129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5,15.66,328.76,2019-03-10,19:15:00,Ewallet,313.10,4.76,15.66,7.00
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9,27.40,575.32,2019-01-15,17:17:00,Ewallet,547.92,4.76,27.40,4.70
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,21.97,461.33,2019-03-23,13:24:00,Ewallet,439.36,4.76,21.97,7.60
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,12.05,253.01,2019-03-03,13:01:00,Cash,240.96,4.76,12.05,7.70
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.34,91.06,2019-01-17,18:45:00,Ewallet,86.72,4.76,4.34,7.90
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5.61,117.83,2019-02-02,10:11:00,Cash,112.22,4.76,5.61,6.30
354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12,6,20.74,435.46,2019-02-08,13:03:00,Cash,414.72,4.76,20.74,5.60
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.70,8,39.48,829.08,2019-03-04,20:39:00,Cash,789.60,4.76,39.48,7.60
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.37,2,1.54,32.28,2019-03-16,19:47:00,Cash,30.74,4.76,1.54,7.20
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96,4,18.79,394.63,2019-03-09,18:00:00,Cash,375.84,4.76,18.79,9.50
370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.69,9,25.51,535.72,2019-02-27,17:24:00,Credit card,510.21,4.76,25.51,8.40
727-46-3608,B,Mandalay,Member,Female,Food and beverages,20.01,9,9.00,189.09,2019-02-06,15:47:00,Ewallet,180.09,4.76,9.00,4.10
669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18.93,6,5.68,119.26,2019-02-10,12:45:00,Credit card,113.58,4.76,5.68,8.10
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.32,867.62,2019-03-19,17:08:00,Ewallet,826.30,4.76,41.32,7.90
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.40,7,31.99,671.79,2019-02-03,10:19:00,Cash,639.80,4.76,31.99,9.50
162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,5,11.15,234.10,2019-02-10,15:10:00,Cash,222.95,4.76,11.15,8.50
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87,4,3.57,75.05,2019-03-22,14:42:00,Ewallet,71.48,4.76,3.57,6.50
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.43,1,0.77,16.20,2019-01-25,15:46:00,Credit card,15.43,4.76,0.77,6.10
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,1.62,33.94,2019-03-07,11:49:00,Ewallet,32.32,4.76,1.62,6.50
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,34.39,722.23,2019-02-28,19:01:00,Cash,687.84,4.76,34.39,8.20
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2,4.43,93.11,2019-03-27,11:26:00,Cash,88.68,4.76,4.43,5.80
635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.60,8,35.84,752.64,2019-02-07,11:28:00,Ewallet,716.80,4.76,35.84,6.60
817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35,10,36.18,759.68,2019-01-20,15:55:00,Cash,723.50,4.76,36.18,5.40
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,9.18,192.84,2019-03-12,20:36:00,Cash,183.66,4.76,9.18,9.30
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.71,77.93,2019-02-15,17:47:00,Credit card,74.22,4.76,3.71,10.00
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,16.72,351.10,2019-02-24,10:55:00,Ewallet,334.38,4.76,16.72,7.00
347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9,24.78,520.41,2019-02-03,13:40:00,Ewallet,495.63,4.76,24.78,10.00
199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10,7.91,166.01,2019-03-06,12:27:00,Credit card,158.10,4.76,7.91,8.60
853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.74,4,15.15,318.11,2019-02-14,14:35:00,Cash,302.96,4.76,15.15,7.60
877-22-3308,A,Yangon,Member,Male,Health and beauty,15.87,10,7.94,166.64,2019-03-13,16:40:00,Cash,158.70,4.76,7.94,5.80
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,33.47,2,3.35,70.29,2019-02-10,15:43:00,Ewallet,66.94,4.76,3.35,6.70
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6,29.28,614.94,2019-01-07,15:01:00,Ewallet,585.66,4.76,29.28,9.90
232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10,39.39,827.09,2019-01-24,10:04:00,Cash,787.70,4.76,39.39,6.40
382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1,0.92,19.25,2019-02-02,18:50:00,Cash,18.33,4.76,0.92,4.30
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,44.74,939.54,2019-01-06,12:46:00,Credit card,894.80,4.76,44.74,9.60
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,31.06,652.26,2019-02-11,16:19:00,Cash,621.20,4.76,31.06,5.90
510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.52,3,7.28,152.84,2019-03-05,18:17:00,Ewallet,145.56,4.76,7.28,4.00
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,22.77,478.23,2019-03-09,18:21:00,Cash,455.46,4.76,22.77,8.70
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.60,705.63,2019-01-22,10:55:00,Ewallet,672.03,4.76,33.60,9.40
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20.83,437.33,2019-01-13,17:04:00,Credit card,416.50,4.76,20.83,5.40
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,22.07,463.43,2019-01-09,14:20:00,Credit card,441.36,4.76,22.07,8.60
381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9,9.00,189.09,2019-01-12,15:48:00,Credit card,180.09,4.76,9.00,5.70
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.16,822.26,2019-03-05,16:24:00,Ewallet,783.10,4.76,39.16,6.60
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.38,5,5.10,107.00,2019-01-22,18:56:00,Cash,101.90,4.76,5.10,6.00
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.19,6,29.76,624.90,2019-01-21,14:42:00,Credit card,595.14,4.76,29.76,5.50
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68,3,14.50,304.54,2019-01-26,19:56:00,Ewallet,290.04,4.76,14.50,6.40
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.25,8,7.70,161.70,2019-01-23,18:37:00,Ewallet,154.00,4.76,7.70,6.60
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.07,337.51,2019-02-23,18:45:00,Credit card,321.44,4.76,16.07,8.30
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.91,5,12.23,256.78,2019-03-09,10:17:00,Cash,244.55,4.76,12.23,6.60
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,29.07,610.49,2019-03-05,14:31:00,Ewallet,581.42,4.76,29.07,4.00
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,19.13,401.73,2019-03-25,10:23:00,Cash,382.60,4.76,19.13,9.90
633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,7,17.28,362.94,2019-03-27,20:35:00,Credit card,345.66,4.76,17.28,7.30
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,2.12,44.59,2019-01-02,16:57:00,Cash,42.47,4.76,2.12,5.70
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76.99,6,23.10,485.04,2019-02-27,17:55:00,Cash,461.94,4.76,23.10,6.10
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.48,199.00,2019-01-23,10:25:00,Cash,189.52,4.76,9.48,7.10
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.43,471.03,2019-01-26,19:54:00,Ewallet,448.60,4.76,22.43,8.20
873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7,7.69,161.55,2019-01-10,16:42:00,Ewallet,153.86,4.76,7.69,5.10
152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,9,28.96,608.20,2019-03-12,12:09:00,Credit card,579.24,4.76,28.96,8.60
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,4.49,94.24,2019-02-06,20:05:00,Credit card,89.75,4.76,4.49,6.60
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,1,4.86,102.02,2019-03-08,20:38:00,Ewallet,97.16,4.76,4.86,7.20
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.87,10,43.94,922.64,2019-03-29,10:25:00,Ewallet,878.70,4.76,43.94,5.10
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,3.74,78.44,2019-02-09,13:11:00,Cash,74.70,4.76,3.74,4.10
865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,3,7.91,166.16,2019-03-23,10:16:00,Ewallet,158.25,4.76,7.91,9.30
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.70,6,24.81,521.01,2019-03-05,18:14:00,Cash,496.20,4.76,24.81,7.40
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,48.71,1,2.44,51.15,2019-03-26,19:20:00,Cash,48.71,4.76,2.44,4.10
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,35.35,742.30,2019-03-01,13:22:00,Cash,706.95,4.76,35.35,7.20
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,10.38,218.01,2019-02-01,11:27:00,Cash,207.63,4.76,10.38,4.90
212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,6,17.48,367.04,2019-03-28,16:44:00,Cash,349.56,4.76,17.48,9.90
716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30.35,7,10.62,223.07,2019-03-19,18:19:00,Cash,212.45,4.76,10.62,8.00
704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,10,44.34,931.04,2019-01-12,14:50:00,Ewallet,886.70,4.76,44.34,7.30
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,8.21,172.49,2019-01-05,20:54:00,Credit card,164.28,4.76,8.21,7.90
630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.13,6,18.64,391.42,2019-03-22,20:19:00,Cash,372.78,4.76,18.64,7.40
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,33.98,9,15.29,321.11,2019-03-24,10:43:00,Cash,305.82,4.76,15.29,4.20
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,40.99,860.69,2019-03-03,14:30:00,Cash,819.70,4.76,40.99,9.20
479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49,2,1.65,34.63,2019-02-05,11:32:00,Ewallet,32.98,4.76,1.65,4.60
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.21,3,14.73,309.36,2019-02-05,10:41:00,Credit card,294.63,4.76,14.73,7.80
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.84,7,25.49,535.37,2019-02-15,12:44:00,Cash,509.88,4.76,25.49,8.40
645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07,9,26.13,548.76,2019-01-19,20:07:00,Ewallet,522.63,4.76,26.13,4.30
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.36,763.47,2019-02-01,20:31:00,Credit card,727.11,4.76,36.36,9.50
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,4.05,85.11,2019-03-02,13:01:00,Credit card,81.06,4.76,4.05,7.10
291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21.94,5,5.49,115.19,2019-03-05,12:29:00,Ewallet,109.70,4.76,5.49,5.30
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36,1,2.57,53.93,2019-01-16,15:26:00,Ewallet,51.36,4.76,2.57,5.20
642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96,10,5.48,115.08,2019-02-02,20:48:00,Ewallet,109.60,4.76,5.48,6.00
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.44,2,5.34,112.22,2019-01-20,20:38:00,Ewallet,106.88,4.76,5.34,4.10
638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.56,8,39.82,836.30,2019-02-14,17:03:00,Credit card,796.48,4.76,39.82,5.20
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12,7,19.99,419.83,2019-01-12,12:02:00,Credit card,399.84,4.76,19.99,6.50
219-22-9386,B,Mandalay,Member,Male,Sports and travel,99.96,9,44.98,944.62,2019-03-09,17:26:00,Credit card,899.64,4.76,44.98,4.20
336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,25.56,536.84,2019-03-13,19:52:00,Credit card,511.28,4.76,25.56,4.60
268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.47,8,22.59,474.35,2019-03-09,14:57:00,Ewallet,451.76,4.76,22.59,7.30
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.69,7,32.79,688.62,2019-03-10,18:44:00,Credit card,655.83,4.76,32.79,4.50
870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25,5,8.06,169.31,2019-01-27,13:26:00,Cash,161.25,4.76,8.06,9.00
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,14.28,299.85,2019-01-08,16:17:00,Credit card,285.57,4.76,14.28,5.90
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.42,575.74,2019-01-08,15:57:00,Ewallet,548.32,4.76,27.42,8.50
549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90.28,9,40.63,853.15,2019-02-08,11:15:00,Ewallet,812.52,4.76,40.63,7.20
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62,7,13.87,291.21,2019-01-25,13:18:00,Cash,277.34,4.76,13.87,7.50
802-70-5316,A,Yangon,Member,Female,Sports and travel,92.13,6,27.64,580.42,2019-03-06,20:34:00,Cash,552.78,4.76,27.64,8.30
695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34.84,4,6.97,146.33,2019-02-10,18:36:00,Cash,139.36,4.76,6.97,7.40
590-83-4591,B,Mandalay,Member,Male,Electronic accessories,87.45,6,26.24,550.94,2019-02-17,14:40:00,Credit card,524.70,4.76,26.24,8.80
483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,81.30,6,24.39,512.19,2019-03-08,16:43:00,Ewallet,487.80,4.76,24.39,5.30
597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,13.53,284.19,2019-02-18,19:39:00,Cash,270.66,4.76,13.53,6.20
700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.31,5,6.58,138.13,2019-01-18,20:59:00,Credit card,131.55,4.76,6.58,8.80
354-39-5160,A,Yangon,Member,Female,Home and lifestyle,34.42,6,10.33,216.85,2019-02-18,15:39:00,Cash,206.52,4.76,10.33,9.80
241-72-9525,B,Mandalay,Normal,Male,Sports and travel,51.91,10,25.96,545.06,2019-02-16,12:21:00,Cash,519.10,4.76,25.96,8.20
575-30-8091,A,Yangon,Normal,Male,Sports and travel,72.50,8,29.00,609.00,2019-03-16,19:25:00,Ewallet,580.00,4.76,29.00,9.20
731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,89.80,10,44.90,942.90,2019-01-23,13:00:00,Credit card,898.00,4.76,44.90,5.40
280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,90.50,10,45.25,950.25,2019-01-25,13:48:00,Cash,905.00,4.76,45.25,8.10
338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,68.60,10,34.30,720.30,2019-02-05,19:57:00,Cash,686.00,4.76,34.30,9.10
488-25-4221,C,Naypyitaw,Member,Female,Food and beverages,30.41,1,1.52,31.93,2019-02-22,10:36:00,Credit card,30.41,4.76,1.52,8.40
239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,77.95,6,23.39,491.09,2019-01-21,16:37:00,Ewallet,467.70,4.76,23.39,8.00
458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty,46.26,6,13.88,291.44,2019-03-08,17:11:00,Credit card,277.56,4.76,13.88,9.50
685-64-1609,A,Yangon,Member,Female,Fashion accessories,30.14,10,15.07,316.47,2019-02-10,12:28:00,Ewallet,301.40,4.76,15.07,9.20
568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty,66.14,4,13.23,277.79,2019-03-19,12:46:00,Credit card,264.56,4.76,13.23,5.60
262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,71.86,8,28.74,603.62,2019-03-06,15:07:00,Credit card,574.88,4.76,28.74,6.20
238-49-0436,A,Yangon,Normal,Male,Health and beauty,32.46,8,12.98,272.66,2019-03-27,13:48:00,Credit card,259.68,4.76,12.98,4.90
608-96-3517,B,Mandalay,Member,Female,Fashion accessories,91.54,4,18.31,384.47,2019-03-23,19:20:00,Credit card,366.16,4.76,18.31,4.80
584-86-7256,C,Naypyitaw,Member,Male,Sports and travel,34.56,7,12.10,254.02,2019-03-11,16:07:00,Credit card,241.92,4.76,12.10,7.30
746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83.24,9,37.46,786.62,2019-01-29,11:56:00,Credit card,749.16,4.76,37.46,7.40
214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages,16.48,6,4.94,103.82,2019-02-07,18:23:00,Ewallet,98.88,4.76,4.94,9.90
400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,80.97,8,32.39,680.15,2019-01-28,13:05:00,Cash,647.76,4.76,32.39,9.30
782-95-9291,A,Yangon,Member,Male,Food and beverages,92.29,5,23.07,484.52,2019-02-20,15:55:00,Credit card,461.45,4.76,23.07,9.00
279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.17,1,3.61,75.78,2019-01-04,19:40:00,Cash,72.17,4.76,3.61,6.10
307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle,50.28,5,12.57,263.97,2019-03-07,13:58:00,Ewallet,251.40,4.76,12.57,9.70
743-04-1105,B,Mandalay,Member,Male,Health and beauty,97.22,9,43.75,918.73,2019-03-30,14:43:00,Ewallet,874.98,4.76,43.75,6.00
423-57-2993,B,Mandalay,Normal,Male,Sports and travel,93.39,6,28.02,588.36,2019-03-27,19:18:00,Ewallet,560.34,4.76,28.02,10.00
894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages,43.18,8,17.27,362.71,2019-01-19,19:39:00,Credit card,345.44,4.76,17.27,8.30
275-28-0149,A,Yangon,Normal,Male,Sports and travel,63.69,1,3.18,66.87,2019-02-25,16:21:00,Cash,63.69,4.76,3.18,6.00
101-17-6199,A,Yangon,Normal,Male,Food and beverages,45.79,7,16.03,336.56,2019-03-13,19:44:00,Credit card,320.53,4.76,16.03,7.00
423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel,76.40,2,7.64,160.44,2019-01-30,19:42:00,Ewallet,152.80,4.76,7.64,6.50
548-46-9322,B,Mandalay,Normal,Male,Food and beverages,39.90,10,19.95,418.95,2019-02-20,15:24:00,Credit card,399.00,4.76,19.95,5.90
505-02-0892,B,Mandalay,Member,Male,Health and beauty,42.57,8,17.03,357.59,2019-02-25,14:12:00,Ewallet,340.56,4.76,17.03,5.60
234-65-2137,C,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,47.79,1003.59,2019-01-16,13:32:00,Cash,955.80,4.76,47.79,4.80
687-47-8271,A,Yangon,Normal,Male,Fashion accessories,98.98,10,49.49,1039.29,2019-02-08,16:20:00,Credit card,989.80,4.76,49.49,8.70
796-32-9050,A,Yangon,Normal,Male,Food and beverages,51.28,6,15.38,323.06,2019-01-19,16:31:00,Cash,307.68,4.76,15.38,6.50
105-31-1824,A,Yangon,Member,Male,Sports and travel,69.52,7,24.33,510.97,2019-02-01,15:10:00,Credit card,486.64,4.76,24.33,8.50
249-42-3782,A,Yangon,Normal,Male,Health and beauty,70.01,5,17.50,367.55,2019-01-03,11:36:00,Ewallet,350.05,4.76,17.50,5.50
316-55-4634,B,Mandalay,Member,Male,Food and beverages,80.05,5,20.01,420.26,2019-01-26,12:45:00,Credit card,400.25,4.76,20.01,9.40
733-33-4967,C,Naypyitaw,Normal,Male,Electronic accessories,20.85,8,8.34,175.14,2019-03-03,19:17:00,Cash,166.80,4.76,8.34,6.30
608-27-6295,B,Mandalay,Member,Male,Electronic accessories,52.89,6,15.87,333.21,2019-01-19,17:34:00,Credit card,317.34,4.76,15.87,9.80
414-12-7047,B,Mandalay,Normal,Male,Food and beverages,19.79,8,7.92,166.24,2019-01-18,12:04:00,Ewallet,158.32,4.76,7.92,8.70
827-26-2100,A,Yangon,Member,Male,Home and lifestyle,33.84,9,15.23,319.79,2019-03-21,16:21:00,Ewallet,304.56,4.76,15.23,8.80
175-54-2529,A,Yangon,Member,Male,Food and beverages,22.17,8,8.87,186.23,2019-03-03,17:01:00,Credit card,177.36,4.76,8.87,9.60
139-52-2867,C,Naypyitaw,Normal,Female,Fashion accessories,22.51,7,7.88,165.45,2019-02-13,10:50:00,Credit card,157.57,4.76,7.88,4.80
